"Kod";"Nazwa";"gminy łącznie z miastami na prawach powiatu;ogółem;2020;[zł]";"gminy łącznie z miastami na prawach powiatu;dochody własne;2020;[zł]";
0000000;"POLSKA";6532,73;3187,53;
0200000;"DOLNOŚLĄSKIE";6423,30;3536,11;
0201000;"Powiat bolesławiecki";5530,85;2948,36;
0201011;"Bolesławiec (1)";5312,66;3004,92;
0201022;"Bolesławiec (2)";5396,32;2881,93;
0201032;"Gromadka (2)";8219,43;5321,57;
0201043;"Nowogrodziec (3)";5067,58;2254,24;
0201052;"Osiecznica (2)";6377,16;3341,81;
0201062;"Warta Bolesławiecka (2)";5173,30;2241,16;
0202000;"Powiat dzierżoniowski";5203,70;2391,94;
0202011;"Bielawa (1)";5355,00;2328,85;
0202021;"Dzierżoniów (1)";4962,43;2474,51;
0202033;"Pieszyce (3)";4428,37;1804,40;
0202041;"Piława Górna (1)";5379,73;2597,70;
0202052;"Dzierżoniów (2)";5137,55;2126,02;
0202062;"Łagiewniki (2)";6016,02;2845,00;
0202073;"Niemcza (3)";5978,88;2862,48;
0203000;"Powiat głogowski";6448,84;3884,61;
0203011;"Głogów (1)";5982,58;3613,92;
0203022;"Głogów (2)";5965,92;3266,58;
0203032;"Jerzmanowa (2)";11650,80;8378,20;
0203042;"Kotla (2)";6699,16;3470,91;
0203052;"Pęcław (2)";5927,75;2085,55;
0203062;"Żukowice (2)";8123,53;4894,08;
0204000;"Powiat górowski";5864,88;2219,13;
0204013;"Góra (3)";5732,77;2295,35;
0204022;"Jemielno (2)";6506,21;2046,82;
0204032;"Niechlów (2)";6072,30;2120,51;
0204043;"Wąsosz (3)";5827,36;2146,18;
0205000;"Powiat jaworski";5899,94;2959,47;
0205011;"Jawor (1)";5636,65;2953,02;
0205023;"Bolków (3)";5978,79;2626,63;
0205032;"Męcinka (2)";6951,03;3975,98;
0205042;"Mściwojów (2)";5799,23;2828,52;
0205052;"Paszowice (2)";5601,90;2860,09;
0205062;"Wądroże Wielkie (2)";6218,04;2767,59;
0206000;"Powiat karkonoski";5864,83;3187,00;
0206011;"Karpacz (1)";8504,95;6249,96;
0206021;"Kowary (1)";4983,79;2197,13;
0206031;"Piechowice (1)";5346,98;3248,31;
0206041;"Szklarska Poręba (1)";8323,07;5479,12;
0206052;"Janowice Wielkie (2)";5257,61;2506,63;
0206062;"Jeżów Sudecki (2)";5186,03;2731,29;
0206072;"Mysłakowice (2)";5309,75;2545,24;
0206082;"Podgórzyn (2)";5859,38;3033,61;
0206092;"Stara Kamienica (2)";5670,20;2499,34;
0207000;"Powiat kamiennogórski";5240,76;2282,15;
0207011;"Kamienna Góra (1)";5322,16;2594,51;
0207022;"Kamienna Góra (2)";5704,61;2448,16;
0207033;"Lubawka (3)";4702,18;1758,06;
0207042;"Marciszów (2)";5249,09;1903,80;
0208000;"Powiat kłodzki";5577,26;2593,52;
0208011;"Duszniki-Zdrój (1)";7388,60;4629,77;
0208021;"Kłodzko (1)";5087,02;2472,77;
0208031;"Kudowa-Zdrój (1)";5808,47;2751,36;
0208041;"Nowa Ruda (1)";4709,90;2300,91;
0208051;"Polanica-Zdrój (1)";7293,82;4387,80;
0208063;"Bystrzyca Kłodzka (3)";5838,76;2472,44;
0208072;"Kłodzko (2)";5665,31;2333,78;
0208083;"Lądek-Zdrój (3)";6196,98;3046,97;
0208092;"Lewin Kłodzki (2)";7477,26;2565,56;
0208103;"Międzylesie (3)";5135,56;1647,61;
0208112;"Nowa Ruda (2)";5732,58;2475,52;
0208123;"Radków (3)";6682,75;3227,93;
0208133;"Stronie Śląskie (3)";4590,86;2218,12;
0208143;"Szczytna (3)";4779,21;2010,96;
0209000;"Powiat legnicki";5657,56;2877,08;
0209011;"Chojnów (1)";4656,12;2149,82;
0209022;"Chojnów (2)";5878,47;2914,19;
0209032;"Krotoszyce (2)";6390,75;3591,57;
0209042;"Kunice (2)";5975,60;3407,82;
0209052;"Legnickie Pole (2)";7418,67;4428,70;
0209062;"Miłkowice (2)";4942,42;2208,95;
0209073;"Prochowice (3)";5777,06;2903,61;
0209082;"Ruja (2)";6078,52;2567,39;
