"Kod";"Nazwa";"stan w końcu czerwca;ogółem;2020;[osoba]";"stan w końcu czerwca;kobiety;2020;[osoba]";"stan w końcu czerwca;mężczyźni;2020;[osoba]";"stan w końcu czerwca;do 25 roku życia;2020;[osoba]";"stan w końcu czerwca;do 30 roku życia;2020;[osoba]";"stan w końcu czerwca;powyżej 50 roku życia;2020;[osoba]";"stan w końcu czerwca;długotrwale bezrobotni;2020;[osoba]";
0000000;"POLSKA";1026471;551003;475468;132199;279165;257341;464686;
0200000;"DOLNOŚLĄSKIE";69076;36770;32306;7579;16352;19056;28780;
0201000;"Powiat bolesławiecki";1659;939;720;226;493;400;511;
0201011;"Bolesławiec (1)";691;374;317;78;191;174;203;
0201022;"Bolesławiec (2)";253;139;114;51;89;59;89;
0201032;"Gromadka (2)";99;59;40;16;31;26;30;
0201043;"Nowogrodziec (3)";276;174;102;39;90;68;86;
0201044;"Nowogrodziec - miasto (4)";68;48;20;2;17;18;19;
0201045;"Nowogrodziec - obszar wiejski (5)";208;126;82;37;73;50;67;
0201052;"Osiecznica (2)";155;82;73;20;47;40;50;
0201062;"Warta Bolesławiecka (2)";185;111;74;22;45;33;53;
0202000;"Powiat dzierżoniowski";2150;1093;1057;189;450;706;605;
0202011;"Bielawa (1)";496;268;228;53;99;174;101;
0202021;"Dzierżoniów (1)";762;380;382;58;149;248;232;
0202033;"Pieszyce (3)";225;128;97;22;56;70;63;
0202034;"Pieszyce - miasto (4)";186;104;82;17;46;62;49;
0202035;"Pieszyce - obszar wiejski (5)";39;24;15;5;10;8;14;
0202041;"Piława Górna (1)";198;91;107;17;44;67;65;
0202052;"Dzierżoniów (2)";211;94;117;17;42;73;55;
0202062;"Łagiewniki (2)";135;76;59;8;31;31;53;
0202073;"Niemcza (3)";123;56;67;14;29;43;36;
0202074;"Niemcza - miasto (4)";66;27;39;7;14;26;22;
0202075;"Niemcza - obszar wiejski (5)";57;29;28;7;15;17;14;
0203000;"Powiat głogowski";2277;1462;815;309;579;490;1132;
0203011;"Głogów (1)";1620;1050;570;206;406;324;757;
0203022;"Głogów (2)";165;110;55;25;49;35;93;
0203032;"Jerzmanowa (2)";127;81;46;26;36;28;62;
0203042;"Kotla (2)";150;83;67;20;30;49;86;
0203052;"Pęcław (2)";98;60;38;18;24;24;60;
0203062;"Żukowice (2)";117;78;39;14;34;30;74;
